Name,Tag,Rank,Trophies,3v3Victories,SoloVictories,DuoVictories,BestBrawler,BestBrawlerType
🥀akashi🏀🇯🇵,#8RR9UPJQJ,139,111674,5554,3532,2677,EL PRIMO,Tank
nayrhet88,#CUVQ99PP,140,111673,38295,7726,6024,SHELLY,Damage Dealer
SDG|James ☠️,#2LYGV9QLLL,141,111601,1909,3529,6274,EDGAR,Assassin
Nexo,#99PVPC2YG,142,111555,25756,2280,6556,NANI,Marksman
slicedbutter,#G2CRQRV82,143,111535,15720,2439,1956,SURGE,Damage Dealer
Yurielle유리,#8Q92GPYV9,144,111528,27714,2764,2926,CORDELIUS,Assassin
Kanzi,#L2UQCCR9,145,111468,12085,7872,2470,ANGELO,Marksman
🍀Mark🍀,#LYR0CQCG,146,111417,28091,6697,7468,CORDELIUS,Assassin
ARM|Sun💛Piper,#P0P9GYYRC,147,111382,18345,4074,6278,DOUG,Support
Lexíêe↯,#GPRYUU2Y,148,111347,13341,4401,3939,AMBER,Controller
Tamazo,#Q9PQ9VUV8,149,111359,14823,2639,1088,CORDELIUS,Assassin
Mago🀄️,#LYJU2UCG8,150,111335,20322,4972,1373,PIPER,Marksman
頹┊𝕐𝕒𝕟𝕘⚡︎,#202QLCPYR,151,111333,27715,5231,4996,LILY,Assassin
Rain🌧,#8LUPY2PG0,152,111283,32919,1262,1835,SHELLY,Damage Dealer
KMG|Jimbo,#8GPR8Y99L,153,111281,17705,7092,3641,SHELLY,Damage Dealer
fluzzi,#20LJL2J00,154,111271,17407,2382,4775,BUSTER,Tank
Jwesty💞,#RP298RL,155,111220,31846,3711,5349,EMZ,Controller
Leo,#88P2L0CG,156,111214,27165,2801,3741,MOE,Damage Dealer
𝐒𝐘⭑𝐀𝐇𝐌𝐄𝐃,#GURJ8028,157,111199,8305,16181,4677,SHELLY,Damage Dealer
MF|𝐋𝐞𝐯𝐢ᴶᴷ,#PQ0LQPCJU,158,111205,12505,5755,1657,CHESTER,Damage Dealer
ᴀʀᴄʜᴇʀᴏɴヤ🍋‍🟩,#8JR2CYCPC,159,111152,15729,5757,2589,GRIFF,Controller
☂️𝘥𝘢𝘬è︻デ═一,#Y082LYJ02,160,111115,15230,2283,2591,DOUG,Support
EF|Faith🎀,#P2U29C0J9,161,111111,28595,4036,2512,SHELLY,Damage Dealer
マティアMシグマスキビッド🐊,#9RVGJLRR0,162,111111,14606,5630,4701,NITA,Damage Dealer
Quit Vend.,#9L2PYJ8L2,163,111111,12065,6618,1208,MINA,Unknown
ske,#2JV0809V,164,111111,29370,4168,19062,BROCK,Marksman
Rantao❤️‍🔥,#998JUPCY0,165,111111,21894,3251,2385,JUJU,Artillery
Øffsxy💘,#20J09PGYU,166,111098,71746,4594,5339,BIBI,Tank
Kickerbuar,#2LCQ9LQY2,167,111097,32540,7484,1525,SHELLY,Damage Dealer
a.k.a. F_Y_,#28JULGR0J,168,111069,21690,6548,2391,JAE-YONG,Unknown
🌻SF | 𝗧𝖔𝖉𝖎,#JJ0RJY9V8,169,111031,4710,3686,1728,SHELLY,Damage Dealer
ʜɪᴋɪɢᴀʏᴀ❦,#U909PP92,170,110978,22562,1572,1330,CORDELIUS,Assassin
🧸ᴀʟᴇɴᴀ.ᴀ💕,#29YGLGGG,171,110951,14180,5005,5105,HANK,Tank
YT: elcioo🖤み,#2LCJLCVYG,172,110939,17256,1017,1470,COLT,Damage Dealer
женя арбитраж,#P8PQLLG2Y,173,110933,18599,1813,7662,JAE-YONG,Unknown
