Name,Tag,Rank,ExpPoints,Trophies,3v3Victories,SoloVictories,DuoVictories,BestBrawler,BestBrawlerType
phatpenguin2,#9V90VU88,65,875872,116392,36261,9877,3497,TICK,Artillery
〆|ζ͜ƦʙʟƦεɨʂ⸙〆|ζ,#2Q2JGU98R,66,676322,116366,38322,968,7607,OLLIE,Assassin
SST | COBRA,#Y89U0V0QJ,67,357751,116362,12322,5560,1896,SHELLY,Damage Dealer
Toxik,#2L9RUJ0RL,68,526014,116282,15843,6438,3760,MEEPLE,Sharpshooter
Mytrojacs,#GCRR908VL,69,459918,116144,12975,16991,2010,SURGE,Damage Dealer
P𝚊𝚔𝚢𝚢🏆ᵍᵒᵈ,#8PUJC0YVL,70,1118542,116104,70904,2194,11450,PIPER,Marksman
монтікс最強?🍥,#9J2VP8URR,71,503838,116055,13084,7108,3662,CHARLIE,Controller
❀|𝒩𝒾𝒸ℴ🌺 ¹⁰,#2QYPR02GY,72,623111,116044,17853,5189,9883,LILY,Assassin
永遠の愛ᴛᴏɪʏᴀ💕ɴ,#99GGYJLQG,73,664131,116013,26666,2927,11238,R-T,Damage Dealer
T@|Snazzy我🍃,#229RJU9LP,74,433401,115936,16323,3744,3462,GUS,Support
EXO|EscotoZx 🦜,#2U92QUYR9,75,554805,115920,32903,2096,1677,SHELLY,Damage Dealer
ハリネズミ,#2LPY8P0CC,76,404691,115843,18985,2735,2455,R-T,Damage Dealer
♕らΛ尺ƓƐЛŤØ®,#8QYR9U820,77,1251935,115855,29695,10530,27494,GALE,Controller
ÂnyLevêl❤️‍🔥,#88YP0GPGP,78,588605,115793,37462,3595,2637,JAE-YONG,Unknown
yuber,#2YJYLG0C9,79,494805,115785,27845,4475,4502,FINX,Assassin
KSN|Jackob🥶,#CG9QV2U,80,384308,115776,18115,3090,3768,R-T,Damage Dealer
StephenCURRY🍬,#9Y9GJRGCC,81,403268,115765,19034,9054,2751,R-T,Damage Dealer
saquire,#2J90RPUU0,82,674578,115740,47319,2220,3269,CHESTER,Damage Dealer
Olomoso 306,#2UVJCGL0Y,83,544339,115737,20513,9942,3638,MEEPLE,Sharpshooter
Kenyatta,#P009JL2L,84,241676,115738,11335,4070,281,DOUG,Support
⚘CＲＭＮ|ＶＡＬＨＲＯTＨ,#YPYGVQLLP,85,410457,115720,24130,2638,4325,BUSTER,Tank
Birne,#9JYUUJRGY,86,511169,115629,22569,6214,3940,MINA,Unknown
slarkevich,#2RY2G2CVU,87,698958,115593,21463,6469,9376,DOUG,Support
Avalanche🏮,#80CYRQU8J,88,612732,115586,30254,5888,6027,GALE,Controller
stasio 67😅,#2P0YPV8RP,89,427644,115508,11570,5433,4021,DOUG,Support
GA|Orso,#28Y2QPRV0,90,704133,115449,30028,3924,4283,JACKY,Tank
velc,#QLLQQQY2L,91,331673,115434,12959,1939,6479,GALE,Controller
Kanzi,#L2UQCCR9,92,471692,115316,12096,8045,2470,ANGELO,Marksman
🇷🇴Alex|Ro 🇷,#8LP90G0U2,93,491843,115271,9307,10007,1721,SHELLY,Damage Dealer
Атом,#20V8QU9CU,94,703393,115254,26870,3824,5867,SHELLY,Damage Dealer
BS|ℳ𝑜𝓇𝓉𝒾s🔥,#L2Y8QPLC9,95,467632,115072,12171,11640,2515,R-T,Damage Dealer
Thur🌹女性,#GJQCQRGUG,96,425387,115068,39847,2215,734,BEA,Marksman
ɴᴀᴘᴏʟᴇᴛᴀɴᴏᵍᵒᵈ♧︎,#82CUGJYVC,97,533747,114994,19774,5480,4542,EMZ,Controller
꧁Rìøt|𝓜𝓲𝓳𝓾꧂,#GL9CPRQJP,98,409883,114833,18928,1716,7830,JAE-YONG,Unknown
Benzito,#2CJLCJLYL,99,916109,114692,63177,1057,4639,MINA,Unknown
SK • Maycon🖤,#YGU92PYU9,100,874772,114689,85584,6875,835,BROCK,Marksman
❀𝐶𝑎𝑟𝑙𝑜𝑠✘,#PR8RVU0UV,101,553911,114612,23248,2221,4434,BULL,Tank
⛩️𝕱lorianano乂,#8Q8PPUGC9,102,599272,114606,16717,9547,5500,HANK,Tank
YT | ALEX11,#Q9PJP20P,103,559183,114601,28469,5728,3895,ANGELO,Marksman
夜|Natou ✨,#P8U9GY,104,1227700,114557,95956,7439,4339,DOUG,Support
nayrhet88,#CUVQ99PP,105,951470,114527,38404,7922,6024,SHELLY,Damage Dealer
𝖈𝖍𝖆𝖇𝖊ヤ,#PVLUQQV92,106,436349,114451,18278,4792,4565,RUFFS,Support
Maes🦈,#22PP2U2C8,107,445012,114393,26760,2051,2731,GALE,Controller
🌻SF | 𝗧𝖔𝖉𝖎,#JJ0RJY9V8,108,238993,114335,4715,3796,1782,SHELLY,Damage Dealer
a.k.a. F_Y_,#28JULGR0J,109,553806,114300,21950,6562,2502,JAE-YONG,Unknown
Paniks浅,#Y0PY2LPP9,110,519707,114284,23910,4189,5014,MELODIE,Assassin
OTM|`𝓝𝓮𝓞11🥂,#PCU2QRQLJ,111,474101,114279,15788,7787,3352,HANK,Tank
〆|ζ͜Eren,#22PCV99CU,112,443307,114272,17517,3868,3769,SHELLY,Damage Dealer
Boomie,#GQC8VLJC,113,535699,114226,10538,7348,11664,GRIFF,Controller
发Vegeta.🦇,#LYG9L8VU,114,680219,114196,30479,5983,5907,R-T,Damage Dealer
SDG|James ☠️,#2LYGV9QLLL,115,279334,114197,1909,3635,6274,EDGAR,Assassin
Asap❤️,#9UC0R2V2L,116,617549,114148,62203,740,3601,BYRON,Support
鬥士的爺爺,#202C82VLV,117,520281,114117,26436,3651,2298,HANK,Tank
好友 | 𝒓𝒐𝒕𝒆𝒛𝒆𝒈 🤍,#9U2PGYJRY,118,585882,113926,32192,2686,4594,POCO,Support
MG|Mutsuzgenç,#9V22LGPPJ,119,425005,113864,26193,1032,3008,SHELLY,Damage Dealer
joshee💫그림자💙,#PCQJ9GV88,120,477200,113853,22222,3358,3361,MEG,Tank
SK|Jonas🩸,#Y0G8P0LQJ,121,641706,113831,14780,9082,5555,CORDELIUS,Assassin
valksxy𖤐,#RJQLL2RJ,122,362636,113816,9112,5286,5490,CORDELIUS,Assassin
Hârún67🧸,#PP2JQGJ92,123,645152,113813,28848,4175,3355,SURGE,Damage Dealer
So|超級皓皓,#8RCQ2C9LC,124,716253,113801,28159,12081,3064,SHELLY,Damage Dealer
